"Location","Year","Series","Series Code","Month","Permits"
"Harris County, TX",2018,"Total Units",1,1,"2,012"
"Harris County, TX",2018,"Total Units",1,2,"1,703"
"Harris County, TX",2018,"Total Units",1,3,"2,150"
"Harris County, TX",2018,"Total Units",1,4,"3,450"
"Harris County, TX",2018,"Total Units",1,5,"2,866"
"Harris County, TX",2018,"Total Units",1,6,"4,588"
"Harris County, TX",2018,"Total Units",1,7,"2,806"
"Harris County, TX",2018,"Total Units",1,8,"2,169"
"Harris County, TX",2018,"Total Units",1,9,"2,249"
"Harris County, TX",2018,"Total Units",1,10,"2,498"
"Harris County, TX",2018,"Total Units",1,11,"3,912"
"Harris County, TX",2018,"Total Units",1,12,"3,696"
"Harris County, TX",2018,"Units in Single Family Structures",2,1,"1,437"
"Harris County, TX",2018,"Units in Single Family Structures",2,2,"1,346"
"Harris County, TX",2018,"Units in Single Family Structures",2,3,"1,574"
"Harris County, TX",2018,"Units in Single Family Structures",2,4,"1,705"
"Harris County, TX",2018,"Units in Single Family Structures",2,5,"1,711"
"Harris County, TX",2018,"Units in Single Family Structures",2,6,"1,701"
"Harris County, TX",2018,"Units in Single Family Structures",2,7,"1,597"
"Harris County, TX",2018,"Units in Single Family Structures",2,8,"1,638"
"Harris County, TX",2018,"Units in Single Family Structures",2,9,"1,335"
"Harris County, TX",2018,"Units in Single Family Structures",2,10,"1,262"
"Harris County, TX",2018,"Units in Single Family Structures",2,11,"1,349"
"Harris County, TX",2018,"Units in Single Family Structures",2,12,"1,029"
"Harris County, TX",2018,"Units in All Multifamily Structures",3,1,575
"Harris County, TX",2018,"Units in All Multifamily Structures",3,2,357
"Harris County, TX",2018,"Units in All Multifamily Structures",3,3,576
"Harris County, TX",2018,"Units in All Multifamily Structures",3,4,"1,745"
"Harris County, TX",2018,"Units in All Multifamily Structures",3,5,"1,155"
"Harris County, TX",2018,"Units in All Multifamily Structures",3,6,"2,887"
"Harris County, TX",2018,"Units in All Multifamily Structures",3,7,"1,209"
